osmid,x,y,1,2,3,4,5,6,7,8,9,10
394066125,34.7856715,-0.11393829999999999,627.9000244140625,783.0999755859375,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
10230373047,34.7856299,-0.1138816,634.2000122070312,789.4000244140625,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457201,34.785878,-0.11439170000000003,586.2000122070312,741.4000244140625,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6166827034,34.7881031,-0.11740739999999998,250.89999389648438,406.1000061035156,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457193,34.7829654,-0.1124096,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
10230373037,34.7837472,-0.11378360000000001,804.7000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335471495,34.7862698,-0.1149176,527.9000244140625,683.0999755859375,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457214,34.7837703,-0.1148997,788.5,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6166827033,34.7882102,-0.1175637,234.0,389.20001220703125,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
394072307,34.7572031,-0.08847679999999998,220.39999389648438,389.29998779296875,632.2000122070312,635.9000244140625,707.9000244140625,900.0,900.0,900.0,900.0,900.0
6363124533,34.7572763,-0.0884212,217.60000610351562,396.3999938964844,629.4000244140625,633.0999755859375,715.0,900.0,900.0,900.0,900.0,900.0
4573738335,34.7566329,-0.08795899999999995,289.0,457.8999938964844,700.7999877929688,704.5,776.5,900.0,900.0,900.0,900.0,900.0
408800019,34.7573614,-0.08872449999999998,194.1999969482422,363.1000061035156,606.0,609.7000122070312,681.7000122070312,892.2999877929688,892.2999877929688,898.4000244140625,898.4000244140625,900.0
6363124529,34.756680100000004,-0.08790129999999999,288.20001220703125,464.5,700.0,703.7000122070312,783.0999755859375,900.0,900.0,900.0,900.0,900.0
4573738339,34.7579065,-0.086842,368.8999938964844,547.7000122070312,780.7000122070312,784.4000244140625,866.2999877929688,900.0,900.0,900.0,900.0,900.0
6363124536,34.7574521,-0.08872739999999998,186.10000610351562,364.8999938964844,597.9000244140625,601.5999755859375,683.5,890.2999877929688,890.2999877929688,894.0999755859375,894.0999755859375,900.0
6363124528,34.7557761,-0.0873747,381.29998779296875,550.2000122070312,793.0999755859375,796.7999877929688,868.7999877929688,900.0,900.0,900.0,900.0,900.0
408799982,34.7574103,-0.08939319999999999,247.89999389648438,303.1000061035156,621.7000122070312,659.7000122070312,663.4000244140625,832.2999877929688,832.2999877929688,900.0,900.0,900.0
394072574,34.794415,-0.12984400000000001,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11346003470,34.7944483,-0.1299578,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6321162810,34.7942143,-0.12914379999999998,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11046032784,34.795096,-0.1297726,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
10927908072,34.7947238,-0.1309003,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11346003822,34.7936261,-0.13104190000000002,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6321226891,34.7939064,-0.12799890000000003,837.7999877929688,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6321162787,34.7909231,-0.12939169999999997,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6320925778,34.7960249,-0.1298861,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6321062502,34.7956834,-0.12618039999999997,862.2000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
394075517,34.7927423,-0.12408960000000001,474.8999938964844,740.7000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
9926798791,34.7926177,-0.12378579999999995,445.70001220703125,711.5,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11027436765,34.7930026,-0.1248808,549.0,814.7999877929688,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
9926798776,34.7931484,-0.1253817,595.4000244140625,861.2000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6315720337,34.7925746,-0.12369800000000002,437.0,702.7999877929688,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
9926798793,34.7925444,-0.12436590000000003,504.5,770.2999877929688,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11027436763,34.7928128,-0.12495210000000001,561.9000244140625,827.7000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
394099171,34.7984272,-0.1418726,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318532457,34.7990656,-0.14254180000000002,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318533189,34.7981039,-0.14142919999999998,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318533194,34.7979793,-0.14123689999999997,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318782921,34.8003634,-0.14345829999999996,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318532455,34.79876380000001,-0.1429133,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
11342987823,34.7994089,-0.14178140000000003,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318532469,34.7976966,-0.1417168,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6318782970,34.7979183,-0.1411272,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
408799961,34.7513528,-0.1014885,125.5999984741211,125.5999984741211,131.6999969482422,134.5,134.5,134.5,134.5,134.5,142.89999389648438,142.89999389648438
6877963879,34.7512106,-0.10148309999999999,132.5,132.5,144.39999389648438,147.1999969482422,147.1999969482422,147.1999969482422,147.1999969482422,147.1999969482422,155.60000610351562,155.60000610351562
10926385405,34.7514363,-0.10149359999999999,118.19999694824219,118.19999694824219,124.30000305175781,127.0999984741211,127.0999984741211,127.0999984741211,127.0999984741211,127.0999984741211,135.5,135.5
408800013,34.751596,-0.10204409999999997,84.0999984741211,90.80000305175781,90.80000305175781,90.80000305175781,90.80000305175781,90.80000305175781,125.30000305175781,125.30000305175781,125.30000305175781,125.30000305175781
10983013265,34.7511955,-0.10144819999999997,129.10000610351562,129.10000610351562,147.8000030517578,150.60000610351562,150.60000610351562,150.60000610351562,150.60000610351562,150.60000610351562,153.0,156.0
1814608930,34.7507219,-0.10144540000000002,171.0,171.0,188.10000610351562,190.89999389648438,190.89999389648438,190.89999389648438,190.89999389648438,190.89999389648438,194.89999389648438,197.60000610351562
6345483220,34.7514889,-0.1014937,113.5,113.5,122.4000015258789,122.4000015258789,122.4000015258789,122.4000015258789,122.4000015258789,124.5,130.8000030517578,130.8000030517578
10926385406,34.7514321,-0.1014584,118.9000015258789,118.9000015258789,127.5,130.3000030517578,130.3000030517578,130.3000030517578,130.3000030517578,130.3000030517578,138.6999969482422,138.6999969482422
10926385427,34.7518025,-0.1019751,64.69999694824219,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,71.4000015258789,105.9000015258789,105.9000015258789,105.9000015258789,105.9000015258789
9436547705,34.7516449,-0.1021586,75.0999984741211,82.5,82.5,82.5,82.5,82.5,136.39999389648438,136.39999389648438,136.39999389648438,136.39999389648438
