osmid,x,y,1,2,3,4,5,6,7,8,9,10
394066125,698732.5308990434,-12599.76559405985,627.9000244140625,783.0999755859375,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
10230373047,698727.899994177,-12593.495187847413,634.2000122070312,789.4000244140625,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457201,698755.5172592988,-12649.9058621399,586.2000122070312,741.4000244140625,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6166827034,699003.214914558,-12983.410248318261,250.89999389648438,406.1000061035156,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457193,698431.2736452358,-12430.697246825586,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
10230373037,698518.3013456227,-12582.644975280422,804.7000122070312,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335471495,698799.1324083045,-12708.064782098229,527.9000244140625,683.0999755859375,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6335457214,698520.8653760834,-12706.067934928136,788.5,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
6166827033,699015.1371771297,-13000.695332124116,234.0,389.20001220703125,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
394072307,695563.3446698235,-9783.976846867597,220.39999389648438,389.29998779296875,632.2000122070312,635.9000244140625,707.9000244140625,900.0,900.0,900.0,900.0,900.0
6363124533,695571.4941368422,-9777.828851193633,217.60000610351562,396.3999938964844,629.4000244140625,633.0999755859375,715.0,900.0,900.0,900.0,900.0,900.0
4573738335,695499.8684221791,-9726.714290369415,289.0,457.8999938964844,700.7999877929688,704.5,776.5,900.0,900.0,900.0,900.0,900.0
408800019,695580.966519998,-9811.368944892685,194.1999969482422,363.1000061035156,606.0,609.7000122070312,681.7000122070312,892.2999877929688,892.2999877929688,898.4000244140625,898.4000244140625,900.0
6363124529,695505.123380741,-9720.333935027536,288.20001220703125,464.5,700.0,703.7000122070312,783.0999755859375,900.0,900.0,900.0,900.0,900.0
4573738339,695641.6609623914,-9603.200379550164,368.8999938964844,547.7000122070312,780.7000122070312,784.4000244140625,866.2999877929688,900.0,900.0,900.0,900.0,900.0
6363124536,695591.0639133486,-9811.690113653856,186.10000610351562,364.8999938964844,597.9000244140625,601.5999755859375,683.5,890.2999877929688,890.2999877929688,894.0999755859375,894.0999755859375,900.0
6363124528,695404.4860695801,-9662.096553259786,381.29998779296875,550.2000122070312,793.0999755859375,796.7999877929688,868.7999877929688,900.0,900.0,900.0,900.0,900.0
